DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
831,19040429,    0,     ,
831,19040430,    7,     ,
831,19040501,    9,     ,
831,19040502,    7,     ,
831,19040503,   65,     ,
831,19040504,   32,     ,
831,19040505,    8,     ,
831,19040506,    2,     ,
831,19040507,   43,     ,
831,19040508,   60,     ,
831,19040509,   10,     ,
831,19040510,   10,     ,
831,19040511,   10,     ,
831,19040512,    0,     ,
831,19040513,    0,     ,
831,19040514,    0,     ,
831,19040515,    0,     ,
831,19040516,    0,     ,
831,19040517,    0,     ,
831,19040518,    0,     ,
831,19040519,    4,     ,
831,19040520,    0,     ,
831,19040521,    0,     ,
831,19040522,   25,     ,
831,19040523,    0,     ,
831,19040524,    0,     ,
831,19040525,    0,     ,
831,19040526,    0,     ,
831,19040527,   21,     ,
831,19040528,   73,     ,
831,19040529,   81,     ,
831,19040530,    0,     ,
831,19040531,    0,     ,
831,19040601,    0,     ,
831,19040602,   51,     ,
831,19040603,    2,     ,
831,19040604,    0,     ,
831,19040605,    2,     ,
831,19040606,    0,     ,
831,19040607,    0,     ,
831,19040608,    0,     ,
831,19040609,    0,     ,
831,19040610,  120,     ,
831,19040611,   11,     ,
831,19040612,    0,     ,
831,19040613,    0,     ,
831,19040614,   48,     ,
831,19040615,    0,     ,
831,19040616,    0,     ,
831,19040617,   18,     ,
831,19040618,    0,     ,
831,19040619,    0,     ,
831,19040620,    0,     ,
831,19040621,    0,     ,
831,19040622,    0,     ,
831,19040623,    0,     ,
831,19040624,    0,     ,
831,19040625,   51,     ,
831,19040626,  104,     ,
831,19040627,   13,     ,
831,19040628,    0,     ,
831,19040629,    0,     ,
831,19040630,    0,     ,
831,19040701,    0,     ,
831,19040702,    0,     ,
831,19040703,    0,     ,
831,19040704,    0,     ,
831,19040705,    0,     ,
831,19040706,    0,     ,
831,19040707,    0,     ,
831,19040708,    0,     ,
831,19040709,    0,     ,
831,19040710,    0,     ,
831,19040711,    0,     ,
831,19040712,    0,     ,
831,19040713,    0,     ,
831,19040714,    0,     ,
831,19040715,    0,     ,
831,19040716,    0,     ,
831,19040717,    0,     ,
831,19040718,    0,     ,
831,19040719,    0,     ,
831,19040720,    0,     ,
831,19040721,    0,     ,
831,19040722,    0,     ,
831,19040723,    0,     ,
831,19040724,    0,     ,
831,19040725,   28,     ,
831,19040726,   32,     ,
831,19040727,    3,     ,
831,19040728,   65,     ,
831,19040729,    0,     ,
831,19040730,    0,     ,
831,19040731,    0,     ,
831,19040801,    0,     ,
831,19040802,    0,     ,
831,19040803,    0,     ,
831,19040804,    0,     ,
831,19040805,    0,     ,
831,19040806,   70,     ,
831,19040807,   50,     ,
831,19040808,    0,     ,
831,19040809,    0,     ,
831,19040810,    0,     ,
831,19040811,    0,     ,
831,19040812,   40,     ,
831,19040813,    0,     ,
831,19040814,    0,     ,
831,19040815,   10,     ,
831,19040816,    0,     ,
831,19040817,    0,     ,
831,19040818,    0,     ,
